epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,16540.3,0.91245,0.69882,1.17727,0.80965,0.68161,0.73761,0.55397,0.81129,0.53854,1.12484,0.00900844,0.00900844,0.00900844
43,16933.4,0.90873,0.68917,1.16955,0.77754,0.69903,0.74185,0.55416,0.81164,0.53529,1.12107,0.00896127,0.00896127,0.00896127
44,17329.1,0.90792,0.68201,1.16314,0.78844,0.69584,0.74182,0.55419,0.80657,0.5285,1.11529,0.00891313,0.00891313,0.00891313
45,17735.8,0.90126,0.67824,1.16331,0.79332,0.69836,0.74622,0.56051,0.80609,0.52905,1.11821,0.00886404,0.00886404,0.00886404
46,18144.7,0.90321,0.67442,1.16072,0.76223,0.70802,0.74303,0.55937,0.80591,0.52894,1.11626,0.00881401,0.00881401,0.00881401
47,18534.3,0.89959,0.67923,1.16289,0.78643,0.70008,0.74781,0.56194,0.8049,0.52866,1.11517,0.00876305,0.00876305,0.00876305
48,18929.4,0.8909,0.6677,1.16136,0.8011,0.69921,0.75296,0.56731,0.7994,0.52535,1.11295,0.00871117,0.00871117,0.00871117
49,19319.3,0.89264,0.6654,1.15836,0.82267,0.68679,0.7495,0.56657,0.7982,0.52031,1.11316,0.00865839,0.00865839,0.00865839
50,19703,0.88818,0.65984,1.15754,0.81805,0.69523,0.75296,0.5688,0.79516,0.51633,1.11079,0.00860473,0.00860473,0.00860473
51,20091.6,0.88977,0.66325,1.15834,0.81195,0.69701,0.75172,0.56984,0.78958,0.51395,1.1083,0.00855018,0.00855018,0.00855018
52,20480.3,0.88586,0.65737,1.15393,0.81391,0.69023,0.75305,0.57198,0.79051,0.5134,1.10764,0.00849477,0.00849477,0.00849477
53,20867.2,0.88097,0.64987,1.15199,0.83282,0.69396,0.76064,0.57476,0.7902,0.51515,1.10945,0.00843851,0.00843851,0.00843851
54,21254.7,0.88029,0.64178,1.14923,0.80113,0.70796,0.76018,0.57318,0.79063,0.51388,1.10977,0.00838141,0.00838141,0.00838141
55,21637.5,0.87832,0.6457,1.15103,0.82434,0.70165,0.75925,0.573,0.79073,0.51068,1.11025,0.00832349,0.00832349,0.00832349
56,22021.3,0.87602,0.63921,1.14661,0.81867,0.70514,0.76037,0.574,0.79094,0.50631,1.10906,0.00826477,0.00826477,0.00826477
57,22405.4,0.87053,0.63265,1.14201,0.80223,0.7102,0.7604,0.57639,0.78967,0.50272,1.10729,0.00820525,0.00820525,0.00820525
58,22791.4,0.86425,0.62912,1.14186,0.81767,0.70967,0.76486,0.57979,0.78855,0.50103,1.10769,0.00814495,0.00814495,0.00814495
59,23176.5,0.86715,0.62505,1.13604,0.81909,0.71025,0.76684,0.5813,0.78818,0.50231,1.10692,0.00808389,0.00808389,0.00808389
60,23563.1,0.86383,0.63241,1.14037,0.80781,0.71998,0.76825,0.58225,0.78739,0.50176,1.10638,0.00802208,0.00802208,0.00802208
61,23951.4,0.86384,0.622,1.13984,0.8288,0.71075,0.76735,0.58355,0.78648,0.50138,1.1075,0.00795954,0.00795954,0.00795954
62,24339.8,0.86086,0.61831,1.14125,0.81896,0.71246,0.76773,0.58419,0.78436,0.50023,1.10905,0.00789628,0.00789628,0.00789628
63,24726,0.85736,0.61849,1.13827,0.82159,0.7127,0.76651,0.58349,0.78299,0.49915,1.10955,0.00783231,0.00783231,0.00783231
64,25108.3,0.85693,0.61555,1.13521,0.83931,0.70517,0.76805,0.58441,0.78207,0.49878,1.10808,0.00776766,0.00776766,0.00776766
65,25494.6,0.85164,0.61199,1.13283,0.83735,0.70933,0.76823,0.58417,0.78167,0.49807,1.10734,0.00770234,0.00770234,0.00770234
66,25877.1,0.85009,0.6063,1.13209,0.82525,0.71066,0.76789,0.58473,0.78178,0.49673,1.10745,0.00763637,0.00763637,0.00763637
67,26266.3,0.84073,0.60153,1.12499,0.82331,0.70949,0.76662,0.58432,0.78161,0.4963,1.10657,0.00756976,0.00756976,0.00756976
68,26651.8,0.84279,0.60201,1.12617,0.80435,0.71556,0.76747,0.58462,0.78106,0.495,1.1056,0.00750252,0.00750252,0.00750252
69,27035.1,0.83695,0.59187,1.12317,0.81006,0.71475,0.76766,0.58409,0.78061,0.49407,1.10589,0.00743468,0.00743468,0.00743468
70,27417.9,0.83726,0.5927,1.1286,0.81832,0.71405,0.76857,0.58459,0.78065,0.49416,1.10605,0.00736625,0.00736625,0.00736625
71,27802,0.83921,0.58894,1.13022,0.80376,0.72248,0.76898,0.58464,0.78048,0.49384,1.1067,0.00729725,0.00729725,0.00729725
